Dyad,Individual1,Individual2,PopID1&2,TrioML,Wang,LynchLi,LynchRd,Ritland,QuelletGt,DyadML,ind1_num,ind2_num,lo,hi,canon_pair,Distance_m,IN_ind_id,NEAR_ind_id,IN_sponge_id,NEAR_sponge_id,ind_id_Pair,sponge_id_Pair
300,golden-59,golden-69,gogo,0,-0.0633,0,-0.033,-0.0348,-0.0248,0,59,69,59,69,59_69,97.07068164,59,69,GOL_22,GOL_29,59_69,GOL_22_GOL_29
108,golden-42,golden-62,gogo,0,-0.0637,0,-0.0474,-0.0492,-0.0534,0,42,62,42,62,42_62,59.95912937,42,62,GOL_13,GOL_24,42_62,GOL_13_GOL_24
271,golden-56,golden-59,gogo,0,-0.0638,0,-0.0177,-0.0189,-0.0213,0,56,59,56,59,56_59,26.26565365,56,59,GOL_19,GOL_22,56_59,GOL_19_GOL_22
164,golden-52,golden-56,gogo,0,-0.0642,0,-0.0832,-0.0834,-0.0956,0,52,56,52,56,52_56,8.147901746,52,56,GOL_18,GOL_19,52_56,GOL_18_GOL_19
91,golden-32,grunt-124,gogr,0,-0.0643,0,-0.0404,-0.0423,-0.0439,0,32,124,32,124,32_124,54.41235642,32,124,GOL_11,GRU_11,32_124,GOL_11_GRU_11
458,golden-74,grunt-180,gogr,0,-0.0648,0,-0.0522,-0.054,-0.0441,0,74,180,74,180,74_180,54.39458612,74,180,GOL_33,GRU_27,74_180,GOL_33_GRU_27
288,golden-56,grunt-125,gogr,0,-0.0653,0,-0.0274,-0.029,-0.0324,0,56,125,56,125,56_125,75.27532017,56,125,GOL_19,GRU_11,56_125,GOL_19_GRU_11
573,grunt-125,grunt-180,grgr,0,-0.0662,0,-0.0247,-0.0261,-0.0234,0,125,180,125,180,125_180,3.584753582,125,180,GRU_11,GRU_27,125_180,GRU_11_GRU_27
378,golden-63,grunt-125,gogr,0,-0.0663,0,-0.0265,-0.0282,-0.0386,0,63,125,63,125,63_125,70.85106868,63,125,GOL_25,GRU_11,63_125,GOL_25_GRU_11
27,curlew-225,grunt-125,cugr,0,-0.0668,0,-0.0707,-0.0715,-0.0599,0,225,125,125,225,125_225,2403.75547,125,225,GRU_11,CUR_02,125_225,GRU_11_CUR_02
310,golden-59,grunt-104,gogr,0,-0.0672,0,-0.0391,-0.0412,-0.0363,0,59,104,59,104,59_104,49.89832052,59,104,GOL_22,GRU_08,59_104,GOL_22_GRU_08
66,golden-114,grunt-180,gogr,0,-0.0681,0,-0.0584,-0.0601,-0.0456,0,114,180,114,180,114_180,62.5941926,114,180,GOL_46,GRU_27,114_180,GOL_46_GRU_27
236,golden-55,grunt-124,gogr,0,-0.0682,0,-0.078,-0.079,-0.0766,0,55,124,55,124,55_124,75.27532017,55,124,GOL_19,GRU_11,55_124,GOL_19_GRU_11
