Sponge_ID,Max_width_cm,S_occ,S_unocc,Reef,R_ruber
N_GRU_020,15.61,0,1,Grunt,Absent
N_GRU_021,14.76,0,1,Grunt,Absent
N_GRU_022,10.031,0,1,Grunt,Absent
N_GRU_023,16.392,0,1,Grunt,Absent
N_GRU_024,18.945,0,1,Grunt,Absent
N_GRU_025,16.975,0,1,Grunt,Absent
N_GRU_026,14.401,0,1,Grunt,Absent
N_GRU_027,19.814,0,1,Grunt,Absent
N_GRU_028,11.055,0,1,Grunt,Absent
N_GRU_029,13.063,0,1,Grunt,Absent
N_GRU_030,13.242,0,1,Grunt,Absent
N_GRU_031,11.566,0,1,Grunt,Absent
N_GRU_032,17.019,0,1,Grunt,Absent
N_LON_001,18.39,0,1,Long,Absent
N_LON_002,24.515,0,1,Long,Absent
N_LON_003,14.6,0,1,Long,Absent
N_LON_004,12.4,0,1,Long,Absent
N_LON_005,13.391,0,1,Long,Absent
N_LON_006,12.89,0,1,Long,Absent
N_LON_007,15.672,0,1,Long,Absent
N_LON_008,15.335,0,1,Long,Absent
N_LON_009,9.044,0,1,Long,Absent
N_LON_010,15.077,0,1,Long,Absent
N_LON_011,10.639,0,1,Long,Absent
N_LON_012,21.685,0,1,Long,Absent
N_LON_013,15.79,0,1,Long,Absent
N_LON_014,12.332,0,1,Long,Absent
N_LON_015,12.107,0,1,Long,Absent
N_LON_016,15.927,0,1,Long,Absent
N_LON_017,13.562,0,1,Long,Absent
N_LON_018,18.493,0,1,Long,Absent
N_LON_019,16.424,0,1,Long,Absent
N_LON_020,13.757,0,1,Long,Absent
N_LON_021,10.689,0,1,Long,Absent
N_LON_022,14.244,0,1,Long,Absent
N_LON_023,19.968,0,1,Long,Absent
N_LON_024,14.451,0,1,Long,Absent
N_XES_001,18.053,0,1,Xesto,Absent
N_XES_002,13.715,0,1,Xesto,Absent
N_XES_003,12.579,0,1,Xesto,Absent
N_XES_004,13.452,0,1,Xesto,Absent
N_XES_005,14.552,0,1,Xesto,Absent
N_XES_006,20.294,0,1,Xesto,Absent
N_XES_007,14.783,0,1,Xesto,Absent
N_XES_008,20.071,0,1,Xesto,Absent
N_XES_009,21.209,0,1,Xesto,Absent
N_XES_010,31.795,0,1,Xesto,Absent
N_XES_011,13.894,0,1,Xesto,Absent
N_XES_012,18.427,0,1,Xesto,Absent
N_XES_013,13.571,0,1,Xesto,Absent
