ind_id,Sponge_width_cm,Depth,Group_size,TL_mm,Rank,mt_lineage,nc_lineage,Sponge_id,S_species,S_colour,Reef,AVG.TL_mm,is_male,egg_count,eggs,age
Risor_070,12.70735763,5.5,1,9.98,1,2,NA,GOL_30,Ircinia felix,Light,GOL,9.98,0,0,0,NA
Risor_071,15.08723289,4.8,1,8.86,1,2,NA,GOL_31,Ircinia felix,Medium,GOL,8.86,0,0,0,NA
Risor_072,19.75658745,7.5,1,19.45,1,2,NA,GOL_32,Ircinia campana,Medium,GOL,19.45,1,0,0,NA
Risor_073,18.3845142,8.5,2,17.71,1,2,2,GOL_33,Ircinia campana,Medium,GOL,14.725,1,0,0,NA
Risor_074,18.3845142,8.5,2,11.74,2,2,2,GOL_33,Ircinia campana,Medium,GOL,14.725,0,0,0,NA
Risor_075,14.58820784,8.5,3,15.09,2,NA,NA,GOL_34,Ircinia felix,Light,GOL,14.83,0,0,0,NA
Risor_076,14.58820784,8.5,3,18.66,1,2,NA,GOL_34,Ircinia felix,Light,GOL,14.83,0,0,0,NA
Risor_077,14.58820784,8.5,3,10.74,3,2,NA,GOL_34,Ircinia felix,Light,GOL,14.83,na,0,0,NA
Risor_078,14.91901747,8.1,2,13.52,1,2,NA,GOL_35,Ircinia ruetzleri,Light,GOL,11.585,0,50,1,NA
Risor_079,14.91901747,8.1,2,9.65,2,2,NA,GOL_35,Ircinia ruetzleri,Light,GOL,11.585,0,0,0,NA
Risor_080,21.74465929,8.6,1,17.15,1,2,2,GOL_36,Ircinia campana,Medium,GOL,17.15,1,0,0,NA
Risor_081,10.76963518,8.4,2,13.02,2,2,2,GOL_37,Ircinia felix,Light,GOL,13.04,1,0,0,NA
Risor_082,10.76963518,8.4,2,13.06,1,2,2,GOL_37,Ircinia felix,Light,GOL,13.04,0,0,0,NA
Risor_083,21.68913883,8.6,1,7.61,1,NA,NA,GOL_38,Ircinia felix,Light,GOL,7.61,na,0,0,NA
Risor_084,12.71498486,4.8,1,13.13,1,2,2,GOL_39,Ircinia felix,Light,GOL,13.13,0,0,0,NA
Risor_085,20.487863,4.4,1,17.99,1,2,NA,GOL_40,Ircinia campana,Medium,GOL,17.99,0,0,0,NA
Risor_086,11.3725451,5.6,1,12.05,1,2,2,GOL_41,Ircinia felix,Medium,GOL,12.05,0,0,0,NA
Risor_087,13.5868929,5.5,2,15.16,2,2,NA,GOL_42,Ircinia felix,Light,GOL,15.855,0,0,0,NA
Risor_088,13.5868929,5.5,2,16.55,1,2,NA,GOL_42,Ircinia felix,Light,GOL,15.855,1,0,0,NA
Risor_089,25.4678079,5.7,3,9.23,3,2,NA,GOL_43,Ircinia campana,Light,GOL,12.33333333,0,0,0,NA
Risor_090,25.4678079,5.7,3,12.32,2,2,NA,GOL_43,Ircinia campana,Light,GOL,12.33333333,0,0,0,NA
Risor_091,25.4678079,5.7,3,15.45,1,2,NA,GOL_43,Ircinia campana,Light,GOL,12.33333333,0,0,0,NA
Risor_092,29.4435257,6,3,19.64,2,2,NA,GOL_44,Ircinia campana,Medium,GOL,20.81333333,1,0,0,64
Risor_093,29.4435257,6,3,23.22,1,2,NA,GOL_44,Ircinia campana,Medium,GOL,20.81333333,1,0,0,78
Risor_094,29.4435257,6,3,19.58,3,2,NA,GOL_44,Ircinia campana,Medium,GOL,20.81333333,0,0,0,74
Risor_112,24.046868,8.4,1,10.21,1,NA,NA,GOL_45,Ircinia campana,Medium,GOL,10.21,0,0,0,NA
Risor_113,12.0393262,8.2,2,11.54,2,NA,NA,GOL_46,Ircinia felix,Medium,GOL,13.605,0,0,0,NA
Risor_114,12.0393262,8.2,2,15.67,1,2,NA,GOL_46,Ircinia felix,Medium,GOL,13.605,0,0,0,NA
Risor_115,19.5739141,8.7,1,9.82,1,NA,NA,GOL_47,Ircinia campana,Medium,GOL,9.82,0,0,0,NA
Risor_116,15.3214941,8.3,1,14.14,1,NA,NA,GOL_48,Ircinia felix,Medium,GOL,14.14,0,0,0,NA
Risor_117,14.9271669,8.4,3,11.94,1,2,NA,GOL_49,Ircinia strobilina,Medium,GOL,10.88333333,0,0,0,NA
Risor_118,14.9271669,8.4,3,11.19,2,NA,NA,GOL_49,Ircinia strobilina,Medium,GOL,10.88333333,0,0,0,NA
Risor_119,14.9271669,8.4,3,9.52,3,2,NA,GOL_49,Ircinia strobilina,Medium,GOL,10.88333333,0,0,0,NA
Risor_120,20.1412392,7.5,1,9.86,1,2,NA,GOL_50,Ircinia felix,Medium,GOL,9.86,0,0,0,NA
Risor_121,23.2858983,8.1,2,15.86,1,NA,NA,GOL_51,Ircinia felix,Light,GOL,15.02,0,70,1,NA
Risor_122,23.2858983,8.1,2,14.18,2,NA,NA,GOL_51,Ircinia felix,Light,GOL,15.02,0,0,0,NA
Risor_162,10.7763468,6.9,2,10.84,1,3,NA,GOL_52,Ircinia campana,Medium,GOL,9.505,na,0,0,NA
Risor_163,10.7763468,6.9,2,8.17,2,2,NA,GOL_52,Ircinia campana,Medium,GOL,9.505,na,0,0,NA
Risor_164,12.7288579,6.5,1,10.55,1,NA,NA,GOL_53,Ircinia felix,Light,GOL,10.55,na,0,0,NA
Risor_165,15.4888384,7.4,2,12.75,2,2,NA,GOL_54,Ircinia campana,Light,GOL,13.48,0,0,0,NA
Risor_166,15.4888384,7.4,2,14.21,1,2,NA,GOL_54,Ircinia campana,Light,GOL,13.48,0,50,1,NA
Risor_167,17.0994422,6.2,2,18.56,1,2,NA,GOL_55,Ircinia felix,Light,GOL,15.38,0,40,1,NA
Risor_168,17.0994422,6.2,2,12.2,2,2,NA,GOL_55,Ircinia felix,Light,GOL,15.38,0,0,0,NA
