ind_id,Sponge_width_cm,Depth,Group_size,TL_mm,Rank,mt_lineage,nc_lineage,Sponge_id,S_species,S_colour,Reef,AVG.TL_mm,is_male,egg_count,eggs,age
Risor_212,15.15269613,8.7,1,12.86,1,NA,NA,LON_10,Ircinia felix,Medium,LON,12.86,1,0,0,NA
Risor_213,21.89829323,7.5,4,17.51,1,NA,NA,LON_11,Ircinia campana,Medium,LON,13.8425,0,0,0,NA
Risor_214,21.89829323,7.5,4,14.55,3,NA,NA,LON_11,Ircinia campana,Medium,LON,13.8425,0,75,1,NA
Risor_215,21.89829323,7.5,4,15.97,2,NA,NA,LON_11,Ircinia campana,Medium,LON,13.8425,0,0,0,NA
Risor_216,21.89829323,7.5,4,7.34,4,NA,NA,LON_11,Ircinia campana,Medium,LON,13.8425,na,0,0,NA
Risor_217,21.61311416,6.1,1,14.39,1,NA,NA,LON_12,Ircinia felix,Medium,LON,14.39,1,0,0,NA
Risor_219,33.59665271,8.9,5,18.59,2,NA,1,LON_13,Ircinia strobilina,Dark,LON,17.894,0,0,0,NA
Risor_218,33.59665271,8.9,5,21.94,1,NA,NA,LON_13,Ircinia strobilina,Dark,LON,17.894,1,0,0,NA
Risor_220,33.59665271,8.9,5,16.79,3,NA,NA,LON_13,Ircinia strobilina,Dark,LON,17.894,1,0,0,NA
Risor_221,33.59665271,8.9,5,16.63,4,NA,NA,LON_13,Ircinia strobilina,Dark,LON,17.894,0,0,0,NA
Risor_222,33.59665271,8.9,5,15.52,5,NA,NA,LON_13,Ircinia strobilina,Dark,LON,17.894,0,0,0,NA
